DATE,AAPL,ABBV,ALV,AMGN,AMZN,BA,BHP,BKH,BP,BSAC,C,CSCO,CVX,DD,DIS,GE,GOOG,GSK,IBM,INTC,JNJ,JPM,KO,MA,MCD,META,MMM,MRK,MSFT,NVDA,ORCL,PEP,PFE,PG,PM,ROG,RY,SAN,TM,TSM,TTE,V,WMT,XOM
2019-01-02,157.92,89.23,70.41,191.89999,1539.13,323.81,47.86,61.27,38.59,29.96,53.53,42.95,110.69,54.52,108.97,8.05,1045.84998,37.88,115.21,47.08,127.75,99.31,46.93,189.74001,176.06,135.67999,190.95,75.59,101.12,136.22,45.22,109.28,43.25,91.28,67.31,100.02,68.92,4.51,116.28,36.52,52.79,132.92,93.34,69.69
2019-01-03,142.19,86.29,67.97,188.98,1500.28003,310.89999,46.39,61.73,38.81,29.71,52.56,41.07,108.57,52.51,106.33,8.06,1016.06,37.83,112.91,44.49,125.72,97.11,46.64,181.17999,174.89999,131.74001,183.75999,74.04,97.4,127.99,44.78,108.26,42.04,90.64,66.44,93.83,68.63,4.55,114.65,34.36,52.91,128.13,92.86,68.62
2019-01-04,148.25999,89.07,70.44,195.44,1575.39001,327.07999,49.22,62.79,40.03,30.54,55.13,42.92,110.82,54.73,109.61,8.23,1070.70996,38.62,117.32,47.22,127.83,100.69,47.57,189.75999,178.28,137.95,191.32001,76.27,101.93,136.19,46.71,110.48,43.0,92.49,69.55,98.12,70.32,4.72,119.73,34.97,54.46,133.64999,93.44,71.15
2019-01-07,147.92999,90.37,71.39,198.07001,1629.51001,328.10999,49.48,62.6,40.16,30.08,55.61,43.21,112.26,54.76,110.56,8.74,1068.39001,38.81,118.15,47.44,127.01,100.76,46.95,191.22,180.22,138.05,190.88,75.43,102.06,143.39999,47.45,109.53,43.23,92.12,67.42,100.88,70.61,4.78,121.28,35.23,54.36,136.06,94.54,71.52
2019-01-08,150.75,90.79,75.12,200.61,1656.57996,340.53,49.33,63.64,40.03,30.41,55.46,43.56,111.77,55.39,111.42,8.56,1076.28003,39.06,119.83,47.74,129.96001,100.57,47.48,192.28,180.60001,142.53,191.67999,75.99,102.8,139.83,47.88,110.58,43.43,92.46,67.87,102.69,70.6,4.81,122.31,34.94,54.19,136.8,95.2,72.04
2019-01-09,153.31,87.81,77.09,200.37,1659.42004,343.82999,49.6,62.54,40.36,30.57,56.38,43.32,113.27,55.62,112.67,8.5,1074.66003,39.2,120.69,48.01,128.92999,100.4,46.57,195.77,180.28999,144.23,192.3,75.41,104.27,142.58,47.78,107.49,43.34,90.95,67.91,106.56,72.44,4.82,122.92,35.61,55.38,138.41,94.89,72.42
2019-01-10,153.8,88.2,77.35,202.67999,1656.21997,352.60999,47.54,63.88,40.7,30.58,56.44,43.24,113.45,55.68,112.8,8.94,1070.32996,39.36,121.79,48.56,129.71001,100.39,47.07,196.95,181.55,144.2,193.60001,74.48,103.6,145.23,47.82,108.15,42.31,91.17,68.15,111.63,72.95,4.88,124.49,36.42,54.96,138.67,94.96,72.05
2019-01-11,152.28999,88.31,76.01,200.56,1640.56006,352.89999,47.2,63.61,40.24,30.94,56.69,43.49,112.54,55.28,112.65,8.94,1057.18994,39.38,121.46,48.93,129.75,99.91,47.34,195.89999,182.37,143.8,192.21001,74.9,102.8,148.83,48.29,108.16,42.88,91.77,69.5,113.04,72.79,4.9,125.07,36.61,53.89,138.06,94.84,71.72
2019-01-14,150.0,84.76,76.53,196.78,1617.20996,350.35999,47.14,62.19,40.42,30.89,58.93,43.21,111.72,55.38,112.42,8.9,1044.68994,38.61,120.39,48.35,128.28,100.94,47.15,195.42999,181.22,145.39,192.17,73.37,102.05,150.44,48.18,107.32,42.37,91.15,69.62,114.12,72.88,4.89,125.39,35.76,54.3,137.10001,94.95,71.63
2019-01-15,153.07001,85.5,78.18,199.38,1674.56006,352.23999,47.53,63.77,40.24,30.93,61.38,44.02,112.12,55.01,111.76,8.73,1077.15002,39.05,121.73,48.6,129.36,101.68,47.57,196.52,181.02,148.95,188.94,74.5,105.01,149.87,48.38,108.99,42.73,92.01,70.5,111.75,73.32,4.87,126.28,36.04,53.81,137.34,96.25,71.67
2019-01-16,154.94,85.55,77.64,198.89,1683.78003,352.06,47.34,64.24,40.12,31.3,62.19,43.96,111.4,55.4,110.91,8.98,1080.96997,38.41,121.62,48.13,128.03999,102.5,46.92,197.77,179.35001,147.53999,189.48,74.61,105.38,148.84,48.06,108.34,42.11,91.37,70.75,110.88,73.83,4.92,125.66,35.64,53.6,137.34,96.35,71.64
2019-01-17,155.86,87.2,77.78,201.92,1693.21997,359.09,47.85,64.78,40.13,31.34,62.47,44.21,111.96,57.04,111.01,9.14,1089.90002,38.98,122.19,48.47,129.09,102.92,47.06,199.31,181.11,148.3,191.71001,75.6,106.12,151.72,48.58,109.22,42.47,90.64,72.52,111.98,74.18,4.87,124.92,36.29,53.76,137.28,96.74,72.13
2019-01-18,156.82001,89.5,79.51,203.88,1696.19995,364.73001,48.04,65.65,40.76,31.7,63.12,45.03,114.37,58.06,111.04,9.06,1098.26001,39.06,123.82,49.19,130.69,104.59,47.61,202.0,182.57001,150.03999,195.86,75.87,107.71,156.92999,49.27,110.07,42.53,91.42,73.79,115.36,74.32,4.97,125.35,36.84,54.56,138.5,97.73,72.99
2019-01-22,153.3,88.66,76.8,201.98,1632.17004,357.89999,46.37,65.7,40.08,31.36,61.85,44.78,112.34,56.24,110.6,8.66,1070.52002,38.97,122.52,48.27,128.8,102.94,47.72,199.46001,184.57001,147.57001,192.25999,75.83,105.68,148.77,48.94,109.91,42.27,90.44,72.81,112.13,74.91,4.88,123.6,36.37,53.48,138.05,97.49,71.89
2019-01-23,153.92,88.45,76.53,201.56,1640.02002,358.60999,46.53,65.59,40.12,31.8,62.13,45.46,111.39,56.43,111.12,8.73,1075.56995,39.07,132.89,47.94,128.8,102.68,48.27,198.35001,186.09,144.3,192.28999,75.44,106.71,149.28999,49.24,110.73,42.16,94.84,74.0,110.73,73.91,4.94,122.47,36.49,52.95,137.00999,98.71,71.3
2019-01-24,152.7,85.88,78.31,200.97,1654.93005,358.26999,46.62,65.03,40.11,31.78,62.71,45.61,113.51,56.33,110.55,8.78,1073.90002,38.37,132.53,49.76,127.03,102.74,47.69,199.78999,187.37,145.83,192.52,73.17,106.2,157.84,49.2,109.5,40.95,94.3,71.55,116.14,74.08,4.93,122.83,37.64,53.34,137.7,98.36,71.4
2019-01-25,157.75999,80.54,80.97,198.77,1670.56995,364.20001,48.21,64.5,40.11,31.95,64.02,46.13,113.22,57.76,111.09,9.16,1090.98999,38.42,133.97,47.04,128.23,103.39,47.37,202.94,184.0,149.00999,195.89999,72.95,107.17,160.14999,49.8,109.35,40.64,93.6,72.73,120.69,74.89,5.02,123.72,38.14,54.21,138.67,96.94,71.72
2019-01-28,156.3,77.14,82.38,191.95,1637.89001,362.97,48.21,65.21,39.57,31.82,63.85,45.75,112.17,58.13,110.81,8.93,1070.07996,38.44,134.27,46.71,128.99001,103.88,47.17,200.16,183.60001,147.47,193.2,72.92,105.08,138.00999,49.52,108.82,39.53,93.52,74.35,120.25,75.0,4.98,122.48,37.44,53.59,135.99001,97.06,71.24
2019-01-29,154.67999,77.47,77.61,192.11,1593.88,364.91,49.11,65.52,40.2,32.0,63.21,45.96,111.83,58.52,110.9,8.9,1060.62,38.72,134.33,46.54,130.33,104.17,47.4,199.24001,182.17,144.19,196.95,73.23,102.94,131.60001,49.61,109.0,40.77,93.54,74.41,121.25,75.21,4.95,122.27,36.33,54.07,135.0,96.71,71.51
2019-01-30,165.25,79.06,79.25,184.86,1670.43005,387.72,50.73,66.99,40.67,31.97,64.22,46.71,113.01,59.28,110.13,9.1,1089.06006,38.71,134.38,47.54,131.64,104.41,47.86,204.02,181.77,150.42,199.27,73.37,106.38,137.39,50.36,110.82,41.58,94.52,74.48,124.1,76.08,4.8,123.04,37.38,54.17,137.60001,94.8,72.29
2019-01-31,166.44,80.29,79.85,187.11,1718.72998,385.62,51.19,67.89,41.12,32.34,64.46,47.29,114.65,53.81,111.52,10.16,1116.37,39.2,134.42,47.12,133.08,103.5,48.13,211.13,178.78,166.69,200.3,74.43,104.43,143.75,50.23,112.67,42.45,96.47,76.72,126.91,76.18,4.74,123.17,37.62,54.73,135.00999,95.83,73.28
2019-02-01,166.52,80.5,78.52,187.07001,1626.22998,387.42999,51.09,67.08,41.34,32.29,63.67,47.34,118.37,53.47,111.3,10.19,1110.75,39.2,134.10001,48.73,134.2,103.88,48.7,213.77,176.72,165.71001,199.16,76.45,102.78,144.73,50.81,112.19,42.88,97.47,75.73,129.14,76.54,4.66,122.0,37.57,55.31,140.14999,93.86,75.92
2019-02-04,171.25,78.53,77.5,186.17999,1633.31006,397.0,51.12,66.94,41.39,32.57,64.06,47.35,119.74,53.13,111.8,10.21,1132.80005,39.14,135.19,49.22,132.88,104.25,49.25,214.91,177.55,169.25,200.21001,76.87,105.74,149.17999,51.03,113.09,42.44,98.03,76.05,129.25999,76.73,4.65,122.9,37.94,55.51,141.5,94.77,74.82
2019-02-05,174.17999,79.69,77.42,188.31,1658.81006,410.17999,51.15,67.14,42.82,32.62,63.81,47.26,119.48,54.26,112.66,10.63,1145.98999,39.45,135.55,50.01,132.88,103.79,49.26,215.86,177.57001,171.16,201.12,77.15,107.22,149.95,51.24,112.9,42.11,97.44,75.81,128.41,77.1,4.71,123.47,38.25,55.89,142.53,95.6,75.59
2019-02-06,174.24001,79.08,77.97,190.75999,1640.26001,411.10999,51.01,66.42,43.04,32.19,63.89,47.48,118.88,53.21,111.41,10.47,1115.22998,40.68,136.32001,49.9,133.0,103.74,49.26,215.3,176.17999,170.49001,202.57001,77.39,106.03,153.0,51.26,113.05,42.33,97.92,75.51,129.92,76.82,4.7,121.05,38.74,55.62,141.49001,95.64,75.26
2019-02-07,170.94,79.17,75.37,184.23,1614.37,405.17001,50.47,67.93,42.7,31.98,62.81,46.7,118.23,52.18,110.95,10.06,1098.70996,40.57,133.19,49.23,132.05,102.38,49.42,213.97,175.28,166.38,199.84,76.82,105.27,147.42,50.22,113.09,41.7,97.14,76.73,125.15,76.29,4.56,118.11,38.12,54.56,140.17,96.73,74.68
2019-02-08,170.41,79.67,73.72,186.0,1588.21997,404.91,50.7,69.43,42.49,31.73,62.01,47.19,117.58,51.71,111.51,9.81,1095.06006,41.09,133.71001,48.84,132.39999,101.36,49.5,216.58,174.75,167.33,199.82001,77.52,105.67,148.17,51.03,113.015,42.23,97.71,79.98,125.43,76.06,4.53,117.31,37.79,55.16,140.38,95.58,73.98
2019-02-11,169.42999,79.77,73.75,185.78999,1591.0,403.95001,50.9,70.31,42.21,31.49,61.61,47.58,116.95,52.0,109.44,10.03,1095.01001,40.23,133.99001,48.77,132.0,100.88,49.61,217.10001,174.25999,165.78999,200.91,76.71,105.25,146.45,51.23,112.97,41.68,98.27,79.05,127.03,75.51,4.52,117.15,38.29,55.15,140.8,96.2,74.1
